"Date","HomeTeam","AwayTeam","HomeBet","DrawBet","AwayBet","Weighted.Win.Prob.Home","HomeTeam.espn","AwayTeam.espn"
"15 Feb 2013","Wolfsburg","Bayern Munich",7.36,4.82,1.4,-0.578416149068323,"VfL Wolfsburg","Bayern Munich"
"10 Feb 2013","Freiburg","Dusseldorf",1.63,3.72,5.68,0.437440594487168,"SC Freiburg","Fortuna Dsseldorf"
"10 Feb 2013","Augsburg","Mainz",2.67,3.16,2.72,0.00688477638246315,"FC Augsburg","Mainz"
"09 Feb 2013","Bayern Munich","Schalke",1.23,6.2,12.53,0.733199670384573,"Bayern Munich","Schalke 04"
"09 Feb 2013","B. Monchengladbach","Bayer Leverkusen",3.39,3.45,2.12,-0.176712862470084,"Borussia Monchengladbach","Bayer Leverkusen"
"09 Feb 2013","Dortmund","Hamburger SV",1.28,5.6,10.34,0.684538201160542,"Borussia Dortmund","Hamburg SV"
"09 Feb 2013","Eintracht Frankfurt","Nurnberg",1.79,3.63,4.48,0.335444932162809,"Eintracht Frankfurt","Nurnberg"
"09 Feb 2013","Greuther Furth","Wolfsburg",2.89,3.29,2.44,-0.0638153043280958,"SpVgg Greuther Furth","VfL Wolfsburg"
"09 Feb 2013","Hannover","Hoffenheim",2.29,3.44,3.05,0.108812370248407,"Hannover 96","TSG Hoffenheim"
"09 Feb 2013","Stuttgart","Werder Bremen",2.37,3.44,2.91,0.0782983165861934,"VfB Stuttgart","Werder Bremen"
"03 Feb 2013","Bayer Leverkusen","Dortmund",3.34,3.54,2.1,-0.176789278585686,"Bayer Leverkusen","Borussia Dortmund"
"03 Feb 2013","Nurnberg","B. Monchengladbach",2.36,3.26,3.08,0.0990534888839974,"Nurnberg","Borussia Monchengladbach"
"02 Feb 2013","Hamburger SV","Eintracht Frankfurt",2.24,3.5,3.09,0.122803975959316,"Hamburg SV","Eintracht Frankfurt"
"02 Feb 2013","Dusseldorf","Stuttgart",3.21,3.33,2.24,-0.134902091677793,"Fortuna Dsseldorf","VfB Stuttgart"
"02 Feb 2013","Hoffenheim","Freiburg",2.57,3.29,2.74,0.0241415547161237,"TSG Hoffenheim","SC Freiburg"
"02 Feb 2013","Mainz","Bayern Munich",7.29,4.37,1.45,-0.552480961165508,"Mainz","Bayern Munich"
"02 Feb 2013","Schalke","Greuther Furth",1.35,4.72,9.21,0.63216310773314,"Schalke 04","SpVgg Greuther Furth"
"02 Feb 2013","Wolfsburg","Augsburg",1.91,3.44,4.15,0.282596354002397,"VfL Wolfsburg","FC Augsburg"
"01 Feb 2013","Werder Bremen","Hannover",1.87,3.79,3.85,0.27501909854851,"Werder Bremen","Hannover 96"
"27 Jan 2013","Stuttgart","Bayern Munich",7.88,4.72,1.39,-0.592520907132162,"VfB Stuttgart","Bayern Munich"
"27 Jan 2013","Hamburger SV","Werder Bremen",2.37,3.49,2.87,0.0735088725209133,"Hamburg SV","Werder Bremen"
"26 Jan 2013","Freiburg","Bayer Leverkusen",2.8,3.31,2.51,-0.0412635173591349,"SC Freiburg","Bayer Leverkusen"
"26 Jan 2013","Augsburg","Schalke",3.55,3.43,2.06,-0.203746752358813,"FC Augsburg","Schalke 04"
"26 Jan 2013","B. Monchengladbach","Dusseldorf",1.8,3.48,4.71,0.343241330502477,"Borussia Monchengladbach","Fortuna Dsseldorf"
"26 Jan 2013","Eintracht Frankfurt","Hoffenheim",2,3.49,3.7,0.22972972972973,"Eintracht Frankfurt","TSG Hoffenheim"
"26 Jan 2013","Greuther Furth","Mainz",3.08,3.26,2.34,-0.102675102675103,"SpVgg Greuther Furth","Mainz"
"26 Jan 2013","Hannover","Wolfsburg",2.39,3.4,2.89,0.0723892805953295,"Hannover 96","VfL Wolfsburg"
"25 Jan 2013","Dortmund","Nurnberg",1.2,6.6,14.27,0.763256248540061,"Borussia Dortmund","Nurnberg"
"20 Jan 2013","Dusseldorf","Augsburg",2.46,3.19,2.98,0.0709335952419927,"Fortuna Dsseldorf","FC Augsburg"
"20 Jan 2013","Nurnberg","Hamburger SV",2.39,3.32,2.97,0.0817097051406675,"Nurnberg","Hamburg SV"
"19 Jan 2013","Werder Bremen","Dortmund",4.21,3.84,1.78,-0.324268061597587,"Werder Bremen","Borussia Dortmund"
"19 Jan 2013","Bayern Munich","Greuther Furth",1.11,9.66,22.6,0.856653113290281,"Bayern Munich","SpVgg Greuther Furth"
"19 Jan 2013","Bayer Leverkusen","Eintracht Frankfurt",1.69,3.94,4.76,0.381631942717916,"Bayer Leverkusen","Eintracht Frankfurt"
"19 Jan 2013","Hoffenheim","B. Monchengladbach",2.26,3.35,3.17,0.127020462856983,"TSG Hoffenheim","Borussia Monchengladbach"
"19 Jan 2013","Mainz","Freiburg",2.12,3.36,3.47,0.183513675167201,"Mainz","SC Freiburg"
"19 Jan 2013","Wolfsburg","Stuttgart",2.01,3.54,3.61,0.220504127561638,"VfL Wolfsburg","VfB Stuttgart"
"18 Jan 2013","Schalke","Hannover",1.67,3.85,5.1,0.402723963837032,"Schalke 04","Hannover 96"
"16 Dec 2012","Werder Bremen","Nurnberg",1.82,3.72,4.21,0.311920858239148,"Werder Bremen","Nurnberg"
"16 Dec 2012","Hoffenheim","Dortmund",6.67,4.25,1.49,-0.521215902116056,"TSG Hoffenheim","Borussia Dortmund"
"15 Dec 2012","Schalke","Freiburg",1.65,3.77,5.34,0.41879468845761,"Schalke 04","SC Freiburg"
"15 Dec 2012","Bayer Leverkusen","Hamburger SV",1.62,3.92,5.34,0.430018033014288,"Bayer Leverkusen","Hamburg SV"
"15 Dec 2012","Dusseldorf","Hannover",2.99,3.25,2.41,-0.0804895988009825,"Fortuna Dsseldorf","Hannover 96"
"15 Dec 2012","Greuther Furth","Augsburg",2.43,3.24,2.98,0.0759521639461982,"SpVgg Greuther Furth","FC Augsburg"
"15 Dec 2012","Mainz","Stuttgart",2.23,3.38,3.19,0.134950869449091,"Mainz","VfB Stuttgart"
"15 Dec 2012","Wolfsburg","Eintracht Frankfurt",2.02,3.56,3.53,0.211763385970325,"VfL Wolfsburg","Eintracht Frankfurt"
